Test,Encoder,Resolution,Framerate,Bitrate_Mbps,Speed,EncodingFPS,TimePerFrame_ms
VT_H264_stereo_3840x1920_30fps_15M,h264_videotoolbox,3840x1920,30,15,ERROR,ERROR,ERROR
VT_H264_stereo_3840x1920_30fps_20M,h264_videotoolbox,3840x1920,30,20,ERROR,ERROR,ERROR
VT_H264_stereo_3840x1920_30fps_10M,h264_videotoolbox,3840x1920,30,10,ERROR,ERROR,ERROR
VT_H264_1080p_30fps_15M,h264_videotoolbox,1920x1080,30,15,0.996,29.880,33.467
VT_H264_720p_30fps_10M,h264_videotoolbox,1280x720,30,10,ERROR,ERROR,ERROR
VT_HEVC_stereo_3840x1920_30fps_15M,hevc_videotoolbox,3840x1920,30,15,ERROR,ERROR,ERROR
VT_HEVC_stereo_3840x1920_30fps_10M,hevc_videotoolbox,3840x1920,30,10,ERROR,ERROR,ERROR
x264_ultrafast_stereo_3840x1920_30fps_15M,libx264,3840x1920,30,15,ERROR,ERROR,ERROR
x264_ultrafast_1080p_30fps_15M,libx264,1920x1080,30,15,0.997,29.910,33.433
VT_H264_realtime_stereo,h264_videotoolbox,3840x1920,30,15,ERROR,ERROR,ERROR
x264_zerolatency_stereo,libx264,3840x1920,30,15,ERROR,ERROR,ERROR
